image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00005.jpg,0.0312325604,0.0141861582,0.0209847704,0.0087136961,0.8745940882,0.0154849158,0.0147718157,0.0200320138
img_00007.jpg,0.1155551762,0.0385659501,0.0095549619,0.0094309206,0.0040714711,0.0039235095,0.0039436633,0.8149543474
img_00009.jpg,0.6599492658,0.1011544852,0.0053064149,0.0048966343,0.0363244779,0.1781258499,0.0043126621,0.0099302099
img_00018.jpg,0.6742325619,0.0988950308,0.0043098178,0.0193152111,0.002529783,0.1830154322,0.0038305845,0.0138715787
img_00027.jpg,0.1770420797,0.3735469678,0.0119018982,0.0053287696,0.0028464007,0.2220031681,0.0303747884,0.1769559275
img_00030.jpg,0.1558714669,0.0186551977,0.0105154438,0.0414518046,0.7173037396,0.034610644,0.009435024,0.0121566822
img_00040.jpg,0.1824285475,0.0179538129,0.0051959091,0.0046551401,0.0035685182,0.01998034,0.6995170998,0.0667006324
img_00046.jpg,0.5239411574,0.0097632185,0.0117211059,0.0074204775,0.4049084109,0.0120474664,0.0158709194,0.0143272399
img_00053.jpg,0.7631479974,0.0782712949,0.0095682035,0.0063015457,0.0273062312,0.0821723788,0.0085902872,0.0246420612
img_00071.jpg,0.0859893745,0.0092227023,0.0038424617,0.8844707611,0.0011513674,0.0067265307,0.0036672184,0.004929584
img_00075.jpg,0.6761605268,0.1214369464,0.0062144055,0.0117687107,0.0013592076,0.1653133449,0.0076956692,0.0100511889
img_00102.jpg,0.3478380329,0.0231319398,0.0068766155,0.0071458253,0.0176346386,0.0406238475,0.0111172269,0.5456318733
img_00103.jpg,0.9115839167,0.0163084585,0.0138527086,0.0060072344,0.0018242712,0.0305997284,0.0037123871,0.0161112951
img_00109.jpg,0.9078167526,0.0307420726,0.0042052946,0.0040820116,0.0011968556,0.0293164353,0.0056233914,0.0170171864
img_00119.jpg,0.0101765913,0.0096062986,0.0097761932,0.0073741513,0.8861879289,0.0082687369,0.0088699674,0.059740173
img_00120.jpg,0.5656567783,0.03787755,0.0056575684,0.0060200252,0.0009602188,0.0257049827,0.0933537226,0.2647691541
img_00125.jpg,0.7070164628,0.0208015677,0.0103794468,0.004418266,0.0040401807,0.043371666,0.0087313726,0.2012410375
img_00128.jpg,0.0252061314,0.0355251929,0.2904332008,0.0041582888,0.0054555907,0.0091679518,0.0056990052,0.6243546384
img_00129.jpg,0.1809097554,0.0170450335,0.0065779014,0.0053636764,0.004776911,0.0174063356,0.7024231019,0.0654972848
img_00133.jpg,0.1432011486,0.0202861115,0.0143927317,0.0140483432,0.7520009123,0.0288405576,0.0080990306,0.0191311992
img_00138.jpg,0.7869005667,0.1568354792,0.0095790144,0.0110761379,0.002811817,0.0151376734,0.0059753401,0.0116839713
img_00141.jpg,0.0097841038,0.0123972561,0.0197628418,0.0037941542,0.0018226506,0.0049012058,0.0040730383,0.9434647496
img_00152.jpg,0.1030060369,0.0981577483,0.010838317,0.0047608051,0.0125191683,0.0879205809,0.0166223435,0.6661749999
img_00161.jpg,0.0075474239,0.0037733245,0.0036190809,0.0036025546,0.0007938133,0.003700716,0.0036090899,0.9733539969
img_00164.jpg,0.0111181216,0.0085551653,0.0079208925,0.0073223074,0.93293779,0.0076518965,0.0122205653,0.0122732738
img_00170.jpg,0.1926626107,0.0085635945,0.0065462792,0.7083062318,0.001766376,0.0316783873,0.0042479347,0.0462285858
img_00171.jpg,0.4811564483,0.0408146418,0.0725461135,0.0626118666,0.0294814607,0.2818650675,0.0115540494,0.0199703522
img_00172.jpg,0.0716715759,0.0884373163,0.0233047776,0.0091102368,0.7138497241,0.0642573251,0.0081757198,0.0211933628
img_00175.jpg,0.4646104255,0.0141417792,0.0157599243,0.0274809417,0.0504330038,0.4110728713,0.005150784,0.0113502703
img_00180.jpg,0.0365580809,0.0063636891,0.0076356795,0.0067042789,0.0008625314,0.007309983,0.0076435416,0.9269222155
img_00196.jpg,0.0290904338,0.0118450047,0.0107671108,0.0074442572,0.9065798992,0.0135764867,0.0084178235,0.0122789985
img_00212.jpg,0.3209742991,0.0121077866,0.0041673892,0.0096327901,0.0015454119,0.005191214,0.0041426055,0.6422385036
img_00223.jpg,0.731718489,0.0313393334,0.1047154998,0.0119082482,0.0049349927,0.0707823021,0.008963071,0.0356380639
img_00230.jpg,0.6432233094,0.204997979,0.0045033439,0.0046186677,0.0060608021,0.1151063279,0.0042825261,0.0172070439
img_00232.jpg,0.0114698519,0.0056881727,0.0037780501,0.0041314003,0.0078857742,0.0117062403,0.9450421994,0.010298311
img_00244.jpg,0.4263503828,0.0972778842,0.0054727103,0.0109475972,0.005637433,0.3389976951,0.0054603194,0.1098559778
img_00272.jpg,0.4909015816,0.0547764452,0.2330211886,0.0359507161,0.0417444452,0.0492416709,0.0137420675,0.0806218858
img_00280.jpg,0.9182196136,0.0128382416,0.010288558,0.0040612774,0.0026462469,0.0069778631,0.0053530709,0.0396151285
img_00282.jpg,0.5580332672,0.0357025958,0.0300853084,0.0668317682,0.0114453902,0.2692379495,0.0088854602,0.0197782606
img_00285.jpg,0.3719532696,0.0418466045,0.0081607638,0.0046063751,0.0036526335,0.0207454167,0.0438905858,0.5051443509
img_00289.jpg,0.800536628,0.0160331786,0.0137468209,0.0081426378,0.1159724401,0.0127033674,0.0095815083,0.0232834321
img_00292.jpg,0.511752426,0.1902986493,0.0058658364,0.0060179119,0.0067200924,0.0498121251,0.03342829,0.1961046689
img_00302.jpg,0.2097377856,0.0156912274,0.0040238656,0.0044541517,0.0039666911,0.0144885625,0.6970938228,0.0505438933
img_00311.jpg,0.9694627995,0.0060109587,0.0036199244,0.0048303545,0.0024417511,0.0039243666,0.0036031627,0.0061066826
img_00320.jpg,0.9427124441,0.0098571974,0.00391092,0.0036663039,0.0015900972,0.0166132428,0.003844695,0.0178050996
img_00331.jpg,0.7317914041,0.0390198918,0.0052946124,0.0052429512,0.0021540769,0.151635887,0.0146386915,0.050222485
img_00358.jpg,0.5427063709,0.0608539426,0.0061172153,0.0061432452,0.009590934,0.0817728057,0.0361875957,0.2566278906
img_00374.jpg,0.5936749649,0.1329136721,0.0047640154,0.0068254921,0.0020211214,0.0086180551,0.0047529264,0.2464297527
img_00375.jpg,0.0859901102,0.0503730704,0.7495429336,0.0102167477,0.0163706053,0.0410481941,0.0082671125,0.0381912262
img_00376.jpg,0.841949541,0.0170445459,0.0144780802,0.0038003105,0.0050263158,0.0672266854,0.0268508357,0.0236236856
img_00380.jpg,0.8935630479,0.0300864,0.0052641882,0.0062739857,0.0040658855,0.0491867173,0.0038625022,0.0076972733
