image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_06237.jpg,0.8823572993,0.0328589194,0.0246353764,0.0081841415,0.0243431777,0.0164148528,0.0058214297,0.0053847935
img_06893.jpg,0.4714953899,0.009800816,0.0159819052,0.0090043163,0.0771436244,0.1972018927,0.0826741979,0.1366978437
img_02082.jpg,0.3623070419,0.0009998037,0.0020260834,0.0019288757,0.6107087135,0.0025266157,0.0161920525,0.0033108867
img_06261.jpg,0.6155211329,0.0114453062,0.003028386,0.0049294019,0.0050957655,0.0169400703,0.0088437721,0.3341961801
img_03628.jpg,0.6605086327,0.018009387,0.0113086449,0.0091345049,0.0516607985,0.0369674265,0.0187470149,0.1936636567
img_04860.jpg,0.9173150659,0.0028988272,0.0043128738,0.0115449103,0.0067346413,0.022071749,0.0015337181,0.0335882865
img_01640.jpg,0.9866400957,0.001209669,0.0009987846,0.0009987846,0.0062251752,0.0009987846,0.0011325915,0.0017961467
img_02709.jpg,0.8428211808,0.0040510935,0.006524479,0.0170306675,0.0067882938,0.0818636119,0.0027343652,0.0381863192
img_00030.jpg,0.2512308359,0.0009994482,0.0018552233,0.0009994482,0.7404213548,0.0012610696,0.0017856891,0.0014469062
img_04740.jpg,0.2576807439,0.0236393977,0.0578861386,0.0282832738,0.0616012402,0.0929863676,0.0180108901,0.4599119723
img_07746.jpg,0.4345637858,0.045725476,0.0407379009,0.0309355613,0.0216794237,0.1148544922,0.0577043742,0.2537989914
img_02830.jpg,0.4572758377,0.0905972049,0.0187272895,0.0285833403,0.0236627962,0.1619210392,0.150417164,0.0688153431
img_03195.jpg,0.7293553948,0.0111237178,0.0046806363,0.0069139549,0.0040964321,0.0284147505,0.0068168277,0.2085982859
img_06851.jpg,0.5729355812,0.0143644307,0.0081484579,0.0086562457,0.0225012247,0.0178061388,0.1787111908,0.1768768132
img_00075.jpg,0.7201197743,0.0297907386,0.0160969831,0.0313576348,0.1073939577,0.0781255737,0.0090539744,0.0080613699
img_05989.jpg,0.9768698812,0.0034032746,0.0038743273,0.002552347,0.004784686,0.0054483898,0.0011738223,0.0018932605
img_03254.jpg,0.3824122846,0.0133811897,0.0156103997,0.0100740911,0.0402898155,0.3605314791,0.016524205,0.1611765772
img_02083.jpg,0.00099828,0.0010390854,0.00099828,0.00099828,0.9910418391,0.0029277683,0.00099828,0.00099828
img_03718.jpg,0.9713627696,0.0015840833,0.00234668,0.0061861323,0.002069884,0.0103367614,0.0009994759,0.0051141824
img_07434.jpg,0.1001615301,0.016634509,0.0073396843,0.004514521,0.811401546,0.0049935183,0.0095575638,0.0453971624
img_04382.jpg,0.0093792565,0.024752358,0.1202608794,0.0071667982,0.00287497,0.0118746487,0.0060416437,0.8176494241
img_05580.jpg,0.5053480268,0.0299268048,0.0098387972,0.0070237243,0.0391535833,0.0358210355,0.1162042543,0.2566838264
img_05615.jpg,0.9930380583,0.0009945761,0.0009945761,0.0009945761,0.0009945761,0.0009945761,0.0009945761,0.0009945761
img_03312.jpg,0.9353358746,0.0249315258,0.001376888,0.003982475,0.0009998751,0.0080140624,0.002381423,0.0229779538
img_05740.jpg,0.3046355248,0.049722638,0.1623167247,0.0159095395,0.1465946436,0.0844264403,0.01887496,0.2175195068
