image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00005.jpg,0.0033533432,0.001490395,0.0022602085,0.0008424063,0.9867415918,0.0016441795,0.0015597421,0.0021081337
img_00007.jpg,0.0584661774,0.0144051144,0.0038895972,0.0038584665,1.00293509529627E-005,0.0022104904,0.0021220059,0.9150381188
img_00009.jpg,0.8551744405,0.0699005012,0.0037305064,0.0025269139,1.01507878656516E-005,0.0621206233,0.0022565009,0.004280363
img_00018.jpg,0.7733073057,0.0488562522,0.0023257112,0.0080060279,1.00271464949027E-005,0.1593234221,0.0021125881,0.0060586656
img_00027.jpg,0.2908285383,0.0278978143,0.006473396,0.0027174563,1.00485090587979E-005,0.1165846725,0.0120910222,0.5433970519
img_00030.jpg,0.0167770327,0.0019795641,0.0010323487,0.0046323838,0.969742146,0.0038362844,0.0007971741,0.0012030663
img_00040.jpg,0.1174241432,0.0074913402,0.0028896282,0.0023169155,0.000010052,0.0078913411,0.8286670738,0.0333095061
img_00046.jpg,0.5495148395,0.009768588,0.0121180528,0.0069572989,0.3803640392,0.0125096854,0.0139782346,0.0147892615
img_00053.jpg,0.9213824687,0.0178389392,0.0123786797,0.0030707408,1.01265632863361E-005,0.0325541453,0.0034389468,0.0093259528
img_00071.jpg,0.0025202166,0.0003573277,0.0002065648,0.9961885803,9.98361550472279E-007,0.0002851271,0.0002013919,0.0002397934
img_00075.jpg,0.8495127892,0.0362328989,0.0028688568,0.0043282781,0.000010121,0.1001171868,0.0031462459,0.0037836232
img_00102.jpg,0.3948304061,0.0108980628,0.0024566629,0.0028920069,1.00773964793278E-005,0.0275075654,0.0067388813,0.5546663372
img_00103.jpg,0.7817636752,0.0398806383,0.0839301816,0.0029482747,1.00302856426857E-005,0.0211975946,0.0021183641,0.0681512412
img_00109.jpg,0.9663957313,0.0096036828,0.002220362,0.0021818734,0.000010022,0.0102322211,0.0026250144,0.006731093
img_00119.jpg,0.0008555603,0.000779459,0.0008646848,0.0006783502,0.991007151,0.0007940615,0.0008257091,0.0041950241
img_00120.jpg,0.7249420362,0.0143876997,0.0025983219,0.0026203771,1.00226560746753E-005,0.0118586413,0.0510154171,0.1925674842
img_00125.jpg,0.840661534,0.0075120063,0.005144854,0.0050190773,1.0032729881373E-005,0.0201615177,0.004340453,0.1171505249
img_00128.jpg,0.0112482515,0.0843498836,0.2918574439,0.0022178717,1.00376100193906E-005,0.00553357,0.0027251409,0.6020578007
